Datum:;Dan:;Zaèetek;Konec:;Vmesna pavza od:;Do:;Delovni Cas:;Malica:
31.08.2020;;10:00:00;15:30;12:10;14:32;03:08:00;02:22
1.09.2020; Tuesday ;08:03:40;16:04:34;12:34:34;13:04:34;07:30:54;00:30
2.09.2020;Wednesday;09:30:13;14:30:00;12:00:30;12:34:45;04:25:32;00:34
3.09.2020; Thursday ;09:11:13;09:11:18;0;0;03:08:00;02:22
3.09.2020; Thursday ;09:11:23;15:07:20;0;0;07:30:54;00:30
4.09.2020; Friday ;12:11:15;15:00:42;0;0;04:25:32;00:34
4.09.2020; Friday ;19:52:41;21:15:14;0;0;03:08:00;02:22
7.09.2020; Monday ;08:24:56;10:16:36;0;0;07:30:54;00:30
29.09.2020; Tuesday ;08:24:52;13:59:28;0;0;05:00:36;00:34
2.10.2020; Friday ;08:18:54;15:08:12;0;0;07:30:54;00:30
5.10.2020; Monday ;09:49:44;12:53:26;11:23:28;11:32:02;02:55:08;00:08:34
5.10.2020; Monday ;14:04:02;14:43:19;0;0;00:39:17;00:00:00
7.10.2020;Wednesday;18:00:00;23:59:59;0;0;05:59:59;00:00:00
8:10.2020;Thursday;00:00:00;00:55;0;0;00:55:00;00:00:00
"08.10.2020, Thursday ,09:20:16,12:57:57",0,0
